longitude,latitude,total_rooms,total_bedrooms,population,households,median_house_value
-119.45,37.21,3538,726,1603,629,95600
-117.88,33.71,1738,509,1403,411,245000
-119.84,34.44,977,162,537,159,274300
-122.14,37.77,2229,365,1297,355,279100
-118.42,34.01,1300,356,703,311,394000
-118.15,33.94,1948,341,992,363,242400
-121.53,38.58,1316,321,732,336,79200
-118.06,33.98,1146,238,579,213,172600
-116.88,32.86,3049,471,1527,515,196600
-117.97,33.84,1063,209,462,223,219000
-121.98,38.36,1083,217,562,203,101700
-118.24,34.08,109,20,86,24,187500
-120.94,37.65,5075,978,3033,838,119000
-122.13,37.76,3266,491,1222,533,275400
-118.37,34.16,2606,748,1373,680,225000
-118.19,34.04,1279,316,1438,329,157600
-122.23,37.8,783,184,488,186,126600
-122.4,37.6,1380,203,530,210,420300
-118.06,33.84,5643,1231,3841,1195,168400
-118.09,34.01,1108,238,1151,229,149500
-117.79,33.7,6259,1098,3785,1114,247100
-117.96,33.99,2799,388,1348,389,311100
-117.67,33.67,10534,2035,4656,1863,309200
-117.07,32.78,3725,623,1516,627,268300
-121.98,37.33,2645,462,1506,480,330500
-121.97,37.79,3873,484,1451,501,341300
-118.26,33.96,1255,323,902,327,94000
-118.51,34.3,6145,868,2710,875,344000
-121.58,39.14,662,160,520,149,55000
-117.54,34.55,2949,671,1620,530,83300
-121.87,37.35,3500,1036,3019,955,153700
-118.2,33.9,1000,275,1178,263,105000
-120.11,36.96,3344,570,1624,536,95300
-118.22,33.98,1095,340,1300,318,123200
-121.98,37.28,1182,309,620,306,269100
-121.85,37.33,2228,559,2845,551,172800
-118.32,33.94,1487,296,863,291,186200
-120.19,38.42,1568,369,82,33,77500
-118.53,34.14,6920,906,2515,860,500001
-118.78,34.25,1841,237,833,231,404700
-117.94,34.03,1375,249,1015,239,151800
-121.87,37.34,1087,166,650,194,309000
-118.42,34.22,1807,323,1234,310,233000
-121.3,38.69,2135,429,779,432,134900
-117.1,32.75,2422,774,2120,715,92400
-122.37,37.59,4645,1196,2156,1113,353800
-118.17,33.77,2143,697,1004,594,220000
-117.01,32.75,4038,706,2065,687,178100
-121.05,37.65,3096,545,1760,519,146400
-118.31,34.06,2470,1197,2326,1055,325000
-121.76,38.66,5320,984,2866,928,133400
-118.19,34.12,2591,682,2366,583,146400
-118.49,34.26,2722,468,1164,419,239900
-118.1,34.01,1724,576,1336,542,183300
-119.78,36.37,831,149,443,146,100000
-121.98,37.24,3574,485,1325,476,500001
-117.61,33.45,950,184,426,186,220700
-122.67,38.44,2551,448,1165,456,196400
-117.26,32.95,5484,1227,1947,1012,500001
-122.21,38.02,2150,327,1094,324,198500
-118.64,34.17,6767,903,2574,883,409000
-118.32,33.73,1099,168,407,159,500001
-118.02,33.93,2400,398,1218,408,193800
-118.17,33.98,756,,873,212,156000
-121.91,37.29,945,149,371,158,320500
-118.32,33.97,1778,320,795,279,138800
-118.21,34.56,2472,408,1048,380,262100
-121.28,38.13,3366,676,1916,697,125400
-122.01,37.59,838,295,240,149,237500
-118.43,34.18,3830,1105,2328,1017,210000
-121.96,37.41,3208,617,2286,602,238000
-116.57,35.43,9975,1743,6835,1439,22500
-118.49,34.03,4949,1293,1985,1244,436700
-122.18,37.75,941,218,621,195,87100
-122.44,37.66,5108,1510,3288,1405,252600
-122.04,37.62,1540,324,793,302,193200
-122.16,37.7,1097,208,568,225,194600
-121.78,37.67,1773,278,804,269,201100
-117.29,33.83,4173,804,2393,713,118300
-121.22,37.96,1484,314,1163,336,72100
-118.33,34.05,3015,795,2300,725,268500
-117.96,33.7,2622,445,1103,407,289600
-118.13,34.02,396,91,261,73,172900
-122.02,37.35,2785,418,1221,422,365700
-121.98,37.33,1907,326,912,313,294300
-122.09,37.7,4413,1107,2239,1051,208200
-122.09,37.63,1457,242,735,249,189500
-119.45,36.61,1302,,693,243,90500
-117.94,33.89,2577,404,1076,374,459600
-118.25,34.09,1866,470,1211,417,189400
-117.42,34.08,4460,930,2657,839,127500
-118.23,34.07,506,119,397,114,143800
-121.48,38.49,3165,806,2447,752,78600
-120.46,37.65,315,89,130,58,79200
-117.89,33.84,1587,374,1159,331,195100
-122.05,38.25,199,36,101,38,105400
-117.13,32.71,1145,314,1114,307,87500
-119.22,36.31,2079,459,2022,462,54100
-121.38,38.69,2943,554,1460,510,84400
-122.47,37.78,2951,647,1448,591,422400
-118.05,33.92,1999,470,2170,466,154700
-117.25,33.05,2794,476,1387,442,213400
-122.31,37.93,2505,371,872,345,286500
-120.48,37.32,3641,897,1737,788,130600
-122.21,38.41,4270,654,1624,598,331300
-118.25,34.06,41,17,87,25,225000
-118.07,33.73,1822,313,643,303,401700
-118.3,34.09,3058,1215,3953,1223,218800
-118.21,33.88,1976,444,1254,371,126800
-117.96,33.69,3123,441,1319,432,290400
-122.62,38.25,1453,250,677,237,170200
-117.31,33.16,5846,894,2282,801,247800
-122.23,37.79,999,264,1011,263,137500
-120.94,37.74,1166,268,515,266,90200
-117.07,32.74,1901,392,1099,406,113900
-117.11,33.23,5819,919,2228,866,298100
-122.1,37.68,1779,413,1061,400,180900
-122.03,37.86,3004,393,1145,376,494000
-121.99,37.35,3249,947,1637,841,198400
-122.02,37.56,4332,857,2461,829,223400
-117.6,34.02,2103,348,1305,356,160400
-118.22,33.97,381,67,259,60,166100
-116.98,32.73,952,143,530,143,175300
-118.11,33.77,9103,1847,3333,1712,367300
-118.25,34.22,2510,535,1516,542,267000
-117.59,33.65,4860,1193,2332,1073,151900
-122.42,40.44,994,,495,181,76400
-118.01,34.07,6311,1572,6666,1456,182600
-117.07,33.02,2863,665,715,467,148200
-120.61,35.1,2919,691,1896,577,142100
-120.43,34.93,2866,648,1311,578,186500
-121.23,37.95,2081,472,1342,411,59000
-121.45,38.5,3033,665,1559,627,99500
-117.6,33.65,3134,504,1599,485,233900
-118.17,34.02,346,103,488,107,112500
-117.93,34.03,2246,446,1837,431,164500
-122.36,37.56,4684,540,1512,511,500001
-118.9,34.19,1582,196,573,182,500001
-118.29,33.95,1401,362,1357,327,99300
-119.18,34.22,4615,1008,2549,973,198700
-117.18,32.77,2374,780,913,705,87500
-122.31,40.47,2723,551,1326,547,66000
-120.29,35.56,4760,871,2459,734,142100
-122.23,37.47,5264,1259,3057,1265,276600
-121.04,37.6,958,184,580,177,82800
-118.18,33.98,1880,642,2646,605,162000
-117.22,33.8,5284,920,2703,729,126500
-117.9,33.77,2002,378,1726,387,182300
-118.19,34.03,525,136,627,145,125000
-118.38,34.25,983,185,513,170,231500
-120.2,34.61,2958,690,1348,617,215200
-118.15,33.84,2987,491,1360,497,224100
-121.94,39.45,844,161,535,165,70500
-122.03,37.95,3287,793,1601,716,220500
-118.29,34.09,2716,1114,2991,1021,187500
-120.89,37.59,1016,206,617,209,195800
-122.02,37.38,1261,317,836,333,224600
-118.86,34.22,1230,200,673,195,251400
-121.01,37.72,1373,264,677,245,161100
-121.31,37.44,69,28,47,14,112500
-122.15,38.29,1625,239,703,224,328800
-117.25,34.11,2910,641,2011,614,70800
-117.94,34.03,1499,289,1112,268,149000
-121.02,37.69,3814,790,2219,804,145000
-122.47,37.66,4172,806,3226,790,297900
-121.87,37.41,3308,548,1891,544,248700
-121.57,37,7241,1225,4168,1138,260300
-122.26,37.52,483,131,291,157,256300
-118.99,36.07,983,165,672,169,63900
-123.8,39.44,1533,336,754,340,95000
-121.44,38.52,2080,388,995,380,76600
-117.38,34.11,3179,662,1878,661,101200
-119.28,35.5,3107,782,3260,738,58600
-121.47,38.48,2969,551,1745,487,76200
-117.89,33.74,660,145,959,113,159000
-117.92,34.01,3055,634,3738,615,127200
-122.71,38.91,41,18,94,10,55000
-119.62,36.56,1722,372,1467,403,51600
-122.5,37.59,1521,253,736,241,237500
-118.39,33.97,993,175,374,180,357200
-117.3,33.06,2128,520,1049,485,290000
-117.11,32.76,2188,616,1304,607,114400
-122.41,37.76,3452,784,2987,753,260300
-121.9,36.58,1431,,704,393,289300
-121.36,38.04,2477,359,1234,377,162100
-117.2,33.07,10394,1617,4496,1553,411300
-117.34,33.94,4589,594,1660,595,236500
-122.44,37.74,2074,366,909,394,294900
-118.21,34.02,22,7,55,7,67500
-117.92,33.61,1025,150,316,126,500001
-117.88,33.74,1444,446,2329,441,159400
-121.22,37.93,336,68,206,73,121400
-119.78,36.83,4164,741,1817,681,95200
-118.44,34.25,1583,324,1481,351,176000
-118.2,34.06,1181,335,1441,337,111800
-122.05,37.34,2515,401,1079,399,423900
-122.56,37.9,1760,283,562,246,402400
-118.18,34.06,2025,565,2189,577,148600
-117.09,32.65,3509,985,2359,899,150000
-117.34,33.06,2718,518,815,403,357100
-118.35,33.91,1660,366,928,398,269700
-117.66,34.06,4043,952,2174,859,114900
-118.22,33.84,1131,273,1007,269,168300
-117.19,32.83,2288,448,1240,469,169800
-122.3,37.81,828,182,392,133,73500
-122.08,37.38,782,130,348,128,383900
-121.61,37.03,6529,1010,3071,977,298500
-118.3,34.18,5492,1549,2997,1405,172100
-117.04,32.67,3464,683,2139,734,137500
-117.2,32.82,1217,220,643,237,171600
-118.17,33.77,1127,327,492,331,241700
-117.39,33.96,2527,461,1344,451,114400
-124.16,40.78,2285,403,837,353,85400
-122.47,37.85,1926,593,881,546,140400
-119.67,36.89,2373,364,1280,386,167500
-117.15,34.03,2832,393,1033,385,237200
-118.82,35.23,2358,580,2302,574,53900
-120.27,36.29,1337,412,1376,318,87500
-118.35,33.84,13133,3680,7180,3522,354700
-118.36,33.99,2005,368,909,364,268900
-118.16,34.18,568,145,559,135,135700
-116.77,33.92,2307,525,1266,437,63000
-118.23,34.15,1649,522,1332,483,257100
-118.96,35.38,2047,347,888,352,92900
-116.23,33.72,4981,1326,3779,1186,76900
-121.81,37.3,1870,348,1214,347,186500
-121.91,37.23,2614,453,1240,462,271800
-117.73,33.49,2168,290,654,279,500001
-118.15,33.92,915,234,646,211,182800
-118.15,34.13,824,224,430,213,215000
-118.29,34.1,1711,443,1190,429,265500
-117.75,33.71,2849,537,878,520,158300
-121.77,38.76,1950,385,1145,363,87900
-122.35,37.57,2059,345,800,308,500001
-119.14,36.29,2084,482,1410,420,48300
-118.18,34.05,762,147,817,176,123100
-117.99,33.72,1787,275,801,270,255700
-121.29,38.28,1554,260,793,233,156700
-117.08,32.74,3260,673,1784,666,126500
-121.34,38.44,3205,465,1439,456,240900
-117.66,34.04,2081,348,1332,356,147600
-121.14,38.84,2750,433,1161,428,236500
-117.29,34.49,7689,1545,3804,1399,111800
-118.31,34.28,3258,610,1810,633,219900
-121.98,37.33,3742,633,1721,631,302400
-117.09,32.76,1922,577,1595,545,118800
-118.33,33.84,1364,251,668,245,314100
-118.17,34.12,2246,481,995,459,354700
-117.86,33.8,1793,480,1722,441,153100
-118.44,34.07,3535,748,1322,666,500001
-118.41,34.01,2010,394,961,365,333500
-119.3,36.57,728,,461,149,109100
-117.68,33.57,10008,1453,3550,1139,500001
-117.27,33.22,1420,311,470,313,90800
-117.88,33.71,1739,359,1914,369,185200
-118.29,33.98,1162,318,1207,289,100000
-117.06,32.71,1864,388,1498,389,125700
-118.42,34.2,161,48,66,33,187500
-118.17,33.84,1533,331,791,335,186600
-117.01,32.8,2705,545,1198,497,168900
-122.49,37.67,3795,675,2494,696,260300
-118.27,34.16,1301,253,637,260,252700
-117.05,33.13,2427,390,1099,362,167500
-119.77,36.73,1081,241,821,230,52600
-118.26,33.92,1076,244,705,255,98900
-122.12,39.91,4006,797,2028,752,77200
-118.43,34.32,2657,515,1948,532,157400
-117.23,32.75,1824,,892,426,137500
-122.71,38.45,2259,537,957,520,188800
-117.27,34.07,418,132,401,120,82100
-118.04,33.87,4626,822,2794,763,275100
-117.61,34.02,1791,346,1219,328,170300
-118.24,34.01,1456,444,2098,433,99200
-117.88,33.9,3180,434,1413,391,277300
-117.76,33.71,1010,350,470,342,108300
-117.81,33.64,2404,349,868,329,442100
-122.13,37.45,3233,540,1251,506,500001
-117.99,33.89,2111,306,979,288,347800
-121.85,37.3,6275,1546,4312,1466,178600
-117.81,33.73,3056,556,1508,555,234200
-118.36,33.89,760,174,723,198,227600
-120.43,34.96,1799,470,1416,408,136900
-119.29,36.12,1248,226,641,200,129200
-118.15,34.04,1099,263,787,269,194600
-117.89,33.94,3349,685,1822,675,227000
-122.25,37.82,3337,855,1520,802,225000
-118.09,33.83,2734,448,1308,441,227300
-121.3,38.66,2915,492,1292,454,117100
-116.79,33.99,319,68,212,67,90000
-118.14,34.18,3457,622,1700,579,226500
-117.26,32.96,1721,264,710,282,500001
-119.85,36.81,1743,310,1011,325,68000
-119.33,36.3,2172,352,1013,354,115600
-118.27,33.82,943,218,803,216,191100
-122.46,37.69,1983,385,1577,414,266700
-122.17,40.2,1782,334,873,311,79100
-120.38,36.15,2279,448,1200,420,70000
-120.95,37.6,1493,278,729,268,97400
-117.61,34.08,3550,736,2229,681,128800
-118.47,33.99,1438,454,665,416,500001
-117.78,34.06,1056,272,964,300,128700
-121.78,38.55,10509,2186,5633,2138,204300
-118.4,34.08,3815,439,1266,413,500001
-118.41,33.88,1471,308,498,264,500001
-124.07,40.87,334,134,780,130,153100
-117.89,34.1,3341,728,1762,679,180400
-118.49,34.04,2381,345,859,306,500001
-117.16,32.72,1245,471,653,451,225000
-122.21,38.11,2122,400,1189,408,124600
-119.69,36.82,3303,512,1687,505,93600
-117.91,33.88,1851,291,784,290,235600
-117.14,32.76,1785,493,965,506,160000
-118.38,34.03,2101,569,1756,527,222100
-117.36,33.98,1680,453,1570,435,82300
-121.91,37.33,2562,410,973,398,330600
-117.05,32.68,3414,580,1761,522,129800
-118.44,33.79,2141,260,635,240,500001
-124.14,40.78,2426,423,982,432,92800
-119.25,34.3,1189,220,445,203,396400
-121.95,37.29,3734,813,1834,824,260000
-117.75,33.64,2499,492,1111,542,182300
-117.23,33.19,2554,447,1147,422,192500
-118.06,34.11,2603,547,1196,487,248700
-118.31,33.89,2278,508,1257,498,220600
-122.19,37.82,1835,264,635,263,365900
-116.93,33.74,3757,666,1693,654,112800
-122.19,37.8,1813,271,637,277,263400
-120.95,37.65,5200,1119,3221,1102,107000
-117.12,32.9,3249,937,1929,838,92500
-121.73,38.56,3306,629,1623,648,145200
-121.79,39.73,5690,1189,2887,1077,116300
-118.12,33.88,2344,571,1305,544,191900
-117.04,32.77,1824,447,962,431,143800
-118.48,34.16,2108,309,769,274,500001
-117.87,33.74,2411,526,2165,521,172500
-118.38,34.18,3553,1060,3129,1010,174200
-120.44,34.94,2481,476,1101,474,147200
-118.44,34.2,2934,950,2517,889,232500
-118.05,34.08,572,154,752,182,138800
-117.98,33.75,2343,415,1537,426,210600
-121.99,37.56,6462,1294,3288,1235,231200
-117.14,32.92,3242,595,1936,593,184700
-118.45,34.19,2479,900,2466,855,181300
-118.35,34.08,2088,388,908,375,342000
-121.88,37.67,2244,301,937,324,296900
-121.13,38.47,2574,441,1041,428,203400
-118.36,34.1,7097,2010,2913,1939,300000
-117.18,32.92,15025,2616,7560,2392,210700
-121.79,38.67,2875,810,1876,749,152500
-120.8,37.55,1802,335,1110,329,96300
-117.42,34.11,4261,893,2319,702,111900
-117.07,32.61,5016,1331,3222,1196,135500
-121.45,38.69,2962,526,1542,521,89200
-120.63,35.27,1630,253,704,263,251300
-118.47,34.42,3223,524,1763,508,183000
-117.07,32.63,2372,444,1056,419,145500
-118.58,34.2,1389,252,826,249,220900
-117.1,32.97,3167,861,2098,828,85800
-119.31,36.33,1636,338,772,332,84900
-122.3,37.53,1748,366,984,371,337800
-122.31,37.94,2172,403,945,384,194200
-122.42,37.79,3457,1021,2286,994,225000
-118.85,35.23,1639,352,1222,395,68000
-117.8,34.03,4240,643,1885,637,247600
-118.13,34.15,1119,334,739,323,125000
-118.21,34.06,1478,413,1580,394,147500
-119.71,36.8,875,156,646,166,72800
-122.47,38.6,1036,202,589,194,303300
-118.29,34.1,2196,582,1165,538,254200
-122.05,37.38,3200,907,2029,866,450000
-117.01,34.89,2599,498,1332,443,70400
-122.79,39.02,642,203,265,84,96900
-122.25,37.79,461,129,381,123,112500
-118.42,34.19,3285,830,2281,786,230800
-118.16,33.89,483,113,389,108,143800
-122.01,38.36,476,67,213,73,315200
-118.5,34.19,2156,509,1142,470,224700
-120.95,37.73,3609,712,2650,742,92700
-121.91,37.46,2762,496,1716,459,226800
-121.02,36.94,1541,313,880,272,117700
-120.43,37.35,1613,203,673,213,212200
-117.11,32.67,204,74,248,57,47500
-119,35.33,991,221,620,207,53800
-122.38,40.61,4773,1133,2101,1072,105000
-122.89,39.11,1588,333,585,254,71100
-118.4,34.02,515,201,397,228,184400
-118.08,33.76,1967,577,692,538,54300
-118.47,34.27,1150,185,741,178,220600
-122.47,37.73,1653,252,641,224,500001
-121.34,38.69,1968,364,996,331,114300
-117.09,32.99,2175,327,1037,326,201400
-122.63,38.95,686,127,246,86,77300
-122.2,39.75,2603,576,1616,588,63700
-122.28,37.88,2495,491,1058,464,259600
-122.14,37.48,1210,236,981,239,148900
-122.16,37.69,1118,219,625,228,192200
-118.21,33.93,619,138,636,145,118100
-117.06,32.69,1520,269,1250,265,157700
-117.25,34.04,5761,1063,2763,1058,161100
-117.37,34.13,5877,1043,3114,1002,133200
-119.34,36.31,1635,422,870,399,88900
-118.17,33.78,2920,962,3580,772,140200
-119.02,35.39,227,75,169,101,60000
-118.23,33.94,1110,,1417,302,92100
-118.82,34.15,655,110,222,109,337500
-117.06,32.55,3223,940,3284,854,108800
-118.05,33.93,894,203,883,190,141500
-118.2,34.14,1941,378,1012,371,217000
-121.34,38.57,5737,1008,2731,983,134500
-118.89,34.33,366,62,265,66,375000
-118.47,34.01,752,201,482,207,418200
-121.98,37.53,3179,703,2142,639,222700
-118.11,33.86,2389,410,1229,393,234900
-118.41,34.18,1975,384,882,406,291700
-117.18,33.02,3540,453,1364,425,500001
-118.09,33.85,8120,1371,5026,1345,286500
-117.97,34.04,1507,295,1326,324,163300
-118.21,33.79,121,29,153,30,150000
-122.26,37.81,5871,1914,2689,1789,335700
-117.87,33.81,3082,536,1268,531,280100
-116.2,33.7,2399,625,2654,535,60600
-122.25,37.74,1914,365,897,390,206200
-122.15,37.43,11709,,7604,3589,375000
-117.2,32.77,156,45,77,40,137500
-117.09,32.75,1245,376,1230,362,95000
-118.55,33.99,2603,456,928,410,500001
-117.95,33.98,16042,2602,7732,2552,330400
-121.13,38.87,1127,,530,186,128100
-117.16,32.82,2291,371,1098,382,188000
-118.24,33.95,1260,342,1167,310,107600
-122,37.31,4211,918,2389,861,242200
-122.44,37.76,2589,569,945,544,376600
-121.22,38,1841,300,783,285,162100
-121.47,38.55,968,310,706,274,65400
-121.62,39.5,2105,416,974,385,63300
-118.46,34.18,1819,465,1336,419,253200
-117.8,33.87,5954,1281,3107,1209,206100
-117.48,33.98,2451,475,1785,456,115000
-118.25,33.88,1027,217,1042,254,98600
-121.24,39.22,983,163,399,161,145100
-122.13,37.47,1630,353,1546,371,173400
-117.8,33.66,2542,498,1022,494,223400
-121.59,37.02,6355,1279,3704,1224,228600
-117.61,34.1,18956,4095,10323,3832,132600
-122.15,37.43,2600,490,1149,465,476300
-117.05,32.61,4033,715,2585,715,139900
-120.98,37.65,422,63,158,63,172200
-118.31,34.07,3264,1248,2919,1191,500001
-118.24,33.85,9594,1489,5237,1496,193300
-122.08,38.3,6718,858,2012,654,305200
-119.87,36.93,1429,209,702,205,111800
-122.21,37.79,1543,307,859,292,138800
-122.05,37.68,2015,318,1019,340,240700
-117.14,32.83,2161,462,896,468,177500
-121.48,37.77,2364,373,1264,390,274200
-118.48,34.04,1956,277,724,277,500001
-121.64,36.68,6568,1603,6012,1565,156100
-118.31,33.73,1725,295,799,306,368500
-117.66,33.63,3299,610,1967,604,223300
-121,37.67,2278,479,995,449,110200
-119.14,36.29,788,181,405,180,61900
-117.85,33.86,329,72,209,71,187500
-117.96,34.05,1993,388,1385,380,181900
-122.25,37.87,1204,460,2016,477,350000
-122.05,37.38,2424,501,1367,507,364200
-121.32,37.96,1832,365,975,373,88100
-120.48,37.34,6146,1017,2821,987,127600
-120.47,37.32,3952,984,2024,1026,121600
-118.01,33.84,3740,691,1724,638,215600
-122.01,36.99,2548,508,1290,488,233000
-118.28,33.93,117,33,74,45,90600
-118.43,34.02,2403,516,1001,514,500001
-118.27,33.98,1966,584,2028,535,101500
-117.47,34.07,1017,227,568,187,112500
-118.09,33.89,1150,215,708,204,171500
-121.71,39.25,1871,321,806,294,101400
-118.24,34.06,2870,1021,3325,978,162500
-119.03,35.3,829,146,447,173,102900
-122.15,37.46,4198,1244,2678,1147,308600
-117.27,34.17,30,3,49,8,250000
-121.94,37.34,2151,473,1092,469,250000
-118.22,33.98,1011,274,899,219,190600
-117.09,32.57,444,83,357,87,138900
-118.28,34.25,2559,,1886,769,162100
-124.09,40.88,2683,555,1353,526,82100
-118.93,35.37,2412,446,1558,421,62800
-122.43,37.75,2459,507,1012,475,387900
-121.35,38.04,4303,613,2206,621,159100
-118.42,34.15,680,131,268,126,371400
-117.84,34.12,3465,566,1722,536,228900
-118.12,33.97,3099,839,2025,750,191100
-122.2,37.48,733,155,652,140,233600
-117.86,33.9,1452,188,630,194,285200
-117.68,34.99,1589,307,853,272,64400
-118.32,33.93,1536,273,804,287,157800
-116.44,33.77,4872,1110,955,656,97500
-118.1,33.74,1310,342,563,310,457100
-117.72,33.62,1144,268,365,279,105800
-118.38,34.21,1468,303,1295,300,170600
-122.26,38.12,3102,734,1623,639,103700
-117.25,32.99,4926,749,1478,634,439900
-117.68,33.47,4458,731,1731,704,285600
-118.27,34.05,661,359,1406,307,112500
-117.81,33.67,3930,661,1831,616,269000
-122.45,37.67,1664,326,963,322,246400
-117.96,34.07,2910,709,2583,670,158400
-119.46,35.14,2943,,1565,584,45800
-117.79,33.69,1532,240,679,248,313900
-117.08,32.63,2080,427,1266,434,146300
-117.87,35.73,2566,449,1181,414,91800
-117.98,33.93,3142,509,1520,503,232500
-118.3,34.07,2657,738,2274,723,281700
-117.21,34.49,2125,348,1067,360,116200
-121.84,39.75,4362,1053,2053,1000,74500
-118,34.08,2003,401,1520,364,195300
-118.17,33.85,2247,526,1670,525,173000
-117.05,32.63,4911,861,2334,843,160100
-117.29,34.1,1204,405,844,424,71300
-118.24,34.16,850,162,493,160,298800
-118.35,34.07,2315,356,894,345,500001
-122.18,39.75,4157,834,1885,774,67500
-117.29,34.14,1598,314,771,319,82900
-121.11,38.91,2558,423,1149,403,190500
-121.29,38.1,1551,297,785,281,163300
-122.43,37.77,3944,1072,1913,973,425000
-122.02,37.89,6349,858,2450,778,356200
-118.37,34.22,2127,581,1989,530,174100
-122.4,37.6,5351,1134,2558,1074,369300
-118.35,34.06,2837,602,1164,551,250000
-121.43,37.75,1280,268,754,294,132000
-122.69,37.91,1730,326,629,279,238700
-121.01,37.25,2216,458,1135,424,97500
-121.33,37.97,3166,575,1351,561,91600
-118.15,33.91,901,205,760,208,147400
-121.42,37.73,2682,393,883,271,196700
-123.98,40.88,1719,372,844,336,84200
-118.18,33.77,2653,754,1087,698,325000
-118.16,33.78,2048,585,2074,597,152700
-117.84,33.89,3935,625,1912,593,226900
-121.88,37.43,2573,474,1898,475,204100
-119.18,34.19,384,131,410,149,87500
-120.64,37.7,284,51,239,46,137500
-122.42,37.77,1086,349,589,361,250000
-120.66,40.41,2081,478,1051,419,70200
-117.96,34.05,1254,263,1092,268,163100
-122.6,38.48,1528,264,606,251,341500
-118.37,33.77,6339,876,2540,880,500001
-120.85,35.37,1033,195,588,187,226900
-118.18,34.01,1845,497,2191,492,127300
-117.88,33.88,957,360,615,370,162500
-117.01,33.75,2873,903,1094,659,105100
-122.54,37.93,2998,470,970,430,431800
-122.29,37.89,2178,421,940,423,232200
-118.24,34.02,542,150,571,114,90600
-118.24,34.04,116,107,171,92,112500
-122.35,37.92,921,200,585,236,94000
-118.29,34.09,1272,322,984,353,261600
-118.33,34.02,1528,391,933,366,125700
-116.95,33.79,2399,546,1726,542,77700
-122.52,38.53,1227,236,548,207,336700
-117.93,34.07,1409,305,819,273,188800
-121.07,37.71,223,37,92,37,212500
-119.55,36.7,1671,372,1371,347,63900
-119.22,34.27,4695,955,2065,982,223600
-118.22,33.98,2225,753,2980,736,128800
-122.02,37.24,2796,365,1085,363,500001
